id,title,company,location,description,job_url,source,created_at,logo,employer_id,employer_name,source_careers_url,employment_type,first_seen_at,last_seen_at,raw_text_snippet,posted_at,closing_date
9ac88e2f-10dd-45b6-b0bf-14407162b7e1,Junior Software Developer,Royal London,Greater Plymouth Area,"About the job

Contract Type: Permanent

Location: Plymouth, Edinburgh, or Alderley Park

Working style: Hybrid

Closing date: 9th February 2026

About The Role

Here at Royal London we are seeking to hire a Junior Software Developer to bring high‑quality digital experiences to life. You’ll transform designs from Figma into responsive, front‑end solutions built on the AWS framework, ensuring they meet Responsible Life’s web standards. Working closely with stakeholders across the business, you’ll also implement updates and enhancements to existing assets as required.

A key part of the role involves developing and refining the front end of our adviser platform, including updating logic and ensuring a seamless user experience.

How We Work

Our team follows Agile methodologies, so you’ll take part in fortnightly sprint planning sessions and retrospectives, collaborating with colleagues to continually improve our workflows and outputs.

About You


Contribute to a diverse range of digital assets for Responsible Lending.
Support the delivery of internal systems while primarily focusing on customer‑facing, lead‑generating websites.
Play a key role in shaping and enhancing our online presence and customer engagement.
Conversion rate optimisation – website/calculator amends
TDD (Test Driven Development) an advantage
Maintain Responsible Lending website
Ensure code is of a high standard
Adviser platform – coding maintenance
Adviser platform – new feature releases
Calculator functionality
JavaScript validation 


Required Skills


HTML/CSS
React
GitHub
Front end development
PHP
NodeJS
Degree educated in computer science/web development 


About Royal London

We’re the UK’s largest mutual life, pensions and investment company, offering protection, long-term savings and asset management products and services.

Our People Promise to our colleagues is that we will all work somewhere inclusive, responsible, enjoyable and fulfilling. This is underpinned by our Spirit of Royal London values; Empowered, Trustworthy, Collaborate, Achieve.

We've always been proud to reward employees by offering great workplace benefits such as 28 days annual leave in addition to bank holidays, and up to 14% employer matching pension scheme and private medical insurance. You can see all our benefits here - Our Benefits

Inclusion, diversity and belonging 

We’re an Inclusive employer. We celebrate and value different backgrounds and cultures across Royal London. Our diverse people and perspectives give us a range of skills which are recognised and respected – whatever their background.",chrome-extension://kjnbfcokgcldcpghaolbkdnfemcmkhfh/popup.html,LinkedIn,2026-02-02T22:41:39.492745+00:00,,,,,,2026-02-06T21:39:01.473877+00:00,2026-02-06T21:39:01.473877+00:00,,,
4511d56f-31c6-4386-901f-5c709db2b3ba,"Software Engineer, Backend",DoorDash,"London, England, United Kingdom",,https://uk.linkedin.com/jobs/view/software-engineer-backend-at-doordash-4296369615?position=1&pageNum=0&refId=aIN2qRHZGCKSAYMd5k38zQ%3D%3D&trackingId=p5p0tRdRs4JvLX4iDpEQYQ%3D%3D,LinkedIn Scraper,2026-02-02T23:01:35.399217+00:00,,,,,,2026-02-06T21:39:01.473877+00:00,2026-02-06T21:39:01.473877+00:00,,,
e0ac8768-8939-43b4-b346-61d4b83af8a3,"Software Engineer, Frontend",DoorDash,"London, England, United Kingdom",,https://uk.linkedin.com/jobs/view/software-engineer-frontend-at-doordash-4296361945?position=2&pageNum=0&refId=aIN2qRHZGCKSAYMd5k38zQ%3D%3D&trackingId=Ng6MIJZQC5ctPUGuYbWcsQ%3D%3D,LinkedIn Scraper,2026-02-02T23:01:35.56472+00:00,,,,,,2026-02-06T21:39:01.473877+00:00,2026-02-06T21:39:01.473877+00:00,,,
e22e7ede-5903-4a0a-84d8-a2b387306a2a,Graduate Software Engineer,AlphaSights,"London, England, United Kingdom",,https://uk.linkedin.com/jobs/view/graduate-software-engineer-at-alphasights-4108711787?position=3&pageNum=0&refId=aIN2qRHZGCKSAYMd5k38zQ%3D%3D&trackingId=Q6mT%2F4GvnQ7ghCIiBzlZsw%3D%3D,LinkedIn Scraper,2026-02-02T23:01:35.711173+00:00,,,,,,2026-02-06T21:39:01.473877+00:00,2026-02-06T21:39:01.473877+00:00,,,
c1e2b89f-1f80-4cd4-bbcb-a509d26c1e71,Junior Software Engineer,Causeway Technologies,"Middlesbrough, England, United Kingdom",,https://uk.linkedin.com/jobs/view/junior-software-engineer-at-causeway-technologies-4360083434?position=4&pageNum=0&refId=aIN2qRHZGCKSAYMd5k38zQ%3D%3D&trackingId=GIk1HKwuhAmqlliyoiWK0g%3D%3D,LinkedIn Scraper,2026-02-02T23:01:35.849613+00:00,,,,,,2026-02-06T21:39:01.473877+00:00,2026-02-06T21:39:01.473877+00:00,,,
f37b7a52-4346-4648-992e-a9e55ab0ecb0,Associate Software Engineer - (Graduate),Encord,"London, England, United Kingdom",,https://uk.linkedin.com/jobs/view/associate-software-engineer-graduate-at-encord-4315301725?position=5&pageNum=0&refId=aIN2qRHZGCKSAYMd5k38zQ%3D%3D&trackingId=DDPbgRAWHNnqI%2FspZVqH9g%3D%3D,LinkedIn Scraper,2026-02-02T23:01:35.997438+00:00,,,,,,2026-02-06T21:39:01.473877+00:00,2026-02-06T21:39:01.473877+00:00,,,
ca75526d-ec5d-4663-9e00-738ec22c4d62,Software Engineer (Full Stack),Humaans,"London, England, United Kingdom",,https://uk.linkedin.com/jobs/view/software-engineer-full-stack-at-humaans-3955668958?position=6&pageNum=0&refId=aIN2qRHZGCKSAYMd5k38zQ%3D%3D&trackingId=pvjhgybvTpWlR4ADwsL3lA%3D%3D,LinkedIn Scraper,2026-02-02T23:01:36.126855+00:00,,,,,,2026-02-06T21:39:01.473877+00:00,2026-02-06T21:39:01.473877+00:00,,,
a2ebeb6f-e625-4dea-9794-02567213c26f,Web UI Developer,Deutsche Bank,"London, England, United Kingdom",,https://uk.linkedin.com/jobs/view/web-ui-developer-at-deutsche-bank-4151254134?position=7&pageNum=0&refId=aIN2qRHZGCKSAYMd5k38zQ%3D%3D&trackingId=RldULRPx7LIzR7VA4rl57g%3D%3D,LinkedIn Scraper,2026-02-02T23:01:36.287198+00:00,,,,,,2026-02-06T21:39:01.473877+00:00,2026-02-06T21:39:01.473877+00:00,,,
c382fa16-9b73-4b8f-8509-34dbb2b44f33,Graduate Software Engineer,Ovarro,"Sheffield, England, United Kingdom",,https://uk.linkedin.com/jobs/view/graduate-software-engineer-at-ovarro-4317217557?position=8&pageNum=0&refId=aIN2qRHZGCKSAYMd5k38zQ%3D%3D&trackingId=YbBgft1ZVRLLLc6bJ6Nxzw%3D%3D,LinkedIn Scraper,2026-02-02T23:01:36.423933+00:00,,,,,,2026-02-06T21:39:01.473877+00:00,2026-02-06T21:39:01.473877+00:00,,,
c6810a6f-e1bf-48f0-be32-7076c700da05,Software Engineer - London,Zopa Bank,"London, England, United Kingdom",,https://uk.linkedin.com/jobs/view/software-engineer-london-at-zopa-bank-4036813631?position=9&pageNum=0&refId=aIN2qRHZGCKSAYMd5k38zQ%3D%3D&trackingId=gKNJ03OBehiDyvYW5ryHrg%3D%3D,LinkedIn Scraper,2026-02-02T23:01:36.552553+00:00,,,,,,2026-02-06T21:39:01.473877+00:00,2026-02-06T21:39:01.473877+00:00,,,
733fdc57-31ba-4cad-8927-a89e419f6bd0,"Software Engineer, New Grad",Palantir Technologies,"London, England, United Kingdom",,https://uk.linkedin.com/jobs/view/software-engineer-new-grad-at-palantir-technologies-4277536943?position=10&pageNum=0&refId=aIN2qRHZGCKSAYMd5k38zQ%3D%3D&trackingId=jehZjf7u1PXlUOfXlDWNmw%3D%3D,LinkedIn Scraper,2026-02-02T23:01:36.738877+00:00,,,,,,2026-02-06T21:39:01.473877+00:00,2026-02-06T21:39:01.473877+00:00,,,
0fe208a7-e0f9-4f36-8993-6181cad808ab,Founding Engineer (£100k),Manchester Digital,"Manchester, England, United Kingdom",,https://uk.linkedin.com/jobs/view/founding-engineer-%C2%A3100k-at-manchester-digital-4366073877?position=11&pageNum=0&refId=aIN2qRHZGCKSAYMd5k38zQ%3D%3D&trackingId=BcmMjgyH4iIswnva4M8lqQ%3D%3D,LinkedIn Scraper,2026-02-02T23:01:36.880787+00:00,,,,,,2026-02-06T21:39:01.473877+00:00,2026-02-06T21:39:01.473877+00:00,,,
6f643fb4-1d72-4369-8a81-0d979c4253d4,Software Engineer I,Checkout.com,"London, England, United Kingdom",,https://uk.linkedin.com/jobs/view/software-engineer-i-at-checkout-com-4311586588?position=12&pageNum=0&refId=aIN2qRHZGCKSAYMd5k38zQ%3D%3D&trackingId=OynWBro469KUjY2ozipEBA%3D%3D,LinkedIn Scraper,2026-02-02T23:01:36.996716+00:00,,,,,,2026-02-06T21:39:01.473877+00:00,2026-02-06T21:39:01.473877+00:00,,,
8e65d6ad-6c69-44a8-9a78-93b505608ba3,Graduate Software Engineer,Sewell Group,"Hessle, England, United Kingdom",,https://uk.linkedin.com/jobs/view/graduate-software-engineer-at-sewell-group-4364672060?position=13&pageNum=0&refId=aIN2qRHZGCKSAYMd5k38zQ%3D%3D&trackingId=RdrAi8rAMWKW08hxAgreqg%3D%3D,LinkedIn Scraper,2026-02-02T23:01:37.119824+00:00,,,,,,2026-02-06T21:39:01.473877+00:00,2026-02-06T21:39:01.473877+00:00,,,
a226267a-3981-4a1b-8f27-a33c5a81b59b,Software Engineer - Apple Pay,Apple,"London, England, United Kingdom",,https://uk.linkedin.com/jobs/view/software-engineer-apple-pay-at-apple-4368403201?position=14&pageNum=0&refId=aIN2qRHZGCKSAYMd5k38zQ%3D%3D&trackingId=BuHg0rBIN7P%2Fn3nio53C7Q%3D%3D,LinkedIn Scraper,2026-02-02T23:01:37.235857+00:00,,,,,,2026-02-06T21:39:01.473877+00:00,2026-02-06T21:39:01.473877+00:00,,,
f24448a3-50d7-469b-91ad-d5e61f78f930,Software Engineer,Microsoft,"London, England, United Kingdom",,https://uk.linkedin.com/jobs/view/software-engineer-at-microsoft-4364342425?position=15&pageNum=0&refId=aIN2qRHZGCKSAYMd5k38zQ%3D%3D&trackingId=MQQnjyQPz02zu9znzEEOVA%3D%3D,LinkedIn Scraper,2026-02-02T23:01:37.347087+00:00,,,,,,2026-02-06T21:39:01.473877+00:00,2026-02-06T21:39:01.473877+00:00,,,
425d0de5-6983-4968-ae5a-256c76fec3e9,Full Stack Software Engineer,NOVA,"London, England, United Kingdom",,https://uk.linkedin.com/jobs/view/full-stack-software-engineer-at-nova-4367174194?position=16&pageNum=0&refId=aIN2qRHZGCKSAYMd5k38zQ%3D%3D&trackingId=YWZsWEdY53gsLGb2znemOg%3D%3D,LinkedIn Scraper,2026-02-02T23:01:37.47268+00:00,,,,,,2026-02-06T21:39:01.473877+00:00,2026-02-06T21:39:01.473877+00:00,,,
6b719b6f-f6c2-423c-b14e-e1d9d303aa3c,"Software Engineer, London",Apple,"London, England, United Kingdom",,https://uk.linkedin.com/jobs/view/software-engineer-london-at-apple-4366866689?position=17&pageNum=0&refId=aIN2qRHZGCKSAYMd5k38zQ%3D%3D&trackingId=6Z9meMHkRDubNNHMFuTJIQ%3D%3D,LinkedIn Scraper,2026-02-02T23:01:37.587762+00:00,,,,,,2026-02-06T21:39:01.473877+00:00,2026-02-06T21:39:01.473877+00:00,,,
4ce75533-f661-486c-80e3-6d8547d7de03,Software Engineer - Systematic Hedge Fund - £200k+,Paragon Alpha - Hedge Fund Talent Business,"London Area, United Kingdom",,https://uk.linkedin.com/jobs/view/software-engineer-systematic-hedge-fund-%C2%A3200k%2B-at-paragon-alpha-hedge-fund-talent-business-4365533013?position=18&pageNum=0&refId=aIN2qRHZGCKSAYMd5k38zQ%3D%3D&trackingId=puC%2FGcBL8AFsJPb4%2BYlGaw%3D%3D,LinkedIn Scraper,2026-02-02T23:01:37.711942+00:00,,,,,,2026-02-06T21:39:01.473877+00:00,2026-02-06T21:39:01.473877+00:00,,,
1fae7779-3b88-43b0-9660-b681f25da88b,Graduate Software Engineer,targetjobs UK,"Gloucester, England, United Kingdom",,https://uk.linkedin.com/jobs/view/graduate-software-engineer-at-targetjobs-uk-4367518307?position=19&pageNum=0&refId=aIN2qRHZGCKSAYMd5k38zQ%3D%3D&trackingId=SOuoR8r4qmWxfL2y4MFi8Q%3D%3D,LinkedIn Scraper,2026-02-02T23:01:37.82658+00:00,,,,,,2026-02-06T21:39:01.473877+00:00,2026-02-06T21:39:01.473877+00:00,,,
